subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue02,1,1,1.31,0.8475,0.9925,3.15,0.524950393006258,0.628196051377937,0.318838,-0.5796654,1.858446,1.688694
wue02,1,2,1.5075,1.0625,1.0125,3.5825,0.365757661431784,0.537926156358507,0.2444205,1.717661,1.150181,0.1557349
wue02,1,3,1.245,1.465,1.1275,3.8375,0.476214940318076,0.519267223345322,-1.406726,0.3516681,-2.479369,-0.06354912
wue02,1,4,1.44,1.205,1.2925,3.9375,0.401417107257944,0.453000709616042,0.8328011,0.5345919,0.5254207,1.68914
wue02,1,5,1.3925,1.1775,1.07,3.64,0.439623858820174,0.53216654399141,-2.228515,-1.892682,-1.671476,-2.46501
wue02,1,6,1.3225,1.0225,1.275,3.62,0.499937772704512,0.46670393761327,-4.031319,0.1047639,-3.784114,-4.128325
wue02,1,7,1.375,1.1625,1.1175,3.655,0.435317566718128,0.595275348954987,-1.010195,-1.736683,-0.09348753,-0.787518
wue02,1,8,1.3475,1.195,1.235,3.7775,0.45157653616119,0.536903160469289,-0.4805812,-0.2675328,0.1364365,-0.7023409
wue02,1,9,1.4575,1.2725,1.2125,3.9425,0.414792154072622,0.492240821495786,-0.8324683,0.1831622,-0.8409151,-0.5704697
wue02,1,10,1.535,1.02,1.2875,3.8425,0.376806234878084,0.441090112973266,-0.8165127,-1.258242,-1.134949,-0.3669932
wue02,2,1,1.3775,0.9825,1.27,3.63,0.462660957872146,0.481850069448697,0.3797647,-0.6689563,0.597366,2.078388
wue02,2,2,1.405,1.3825,1.28,4.0675,0.369082559169304,0.439261767551428,2.199855,1.027725,1.405911,4.667051
wue02,2,3,1.395,2.1,1.095,4.59,0.407108687385217,0.518334616854093,-1.625217,0.02061473,-2.911309,0.04561146
wue02,2,4,1.415,1.595,1.17,4.18,0.428005995779482,0.435395470327093,1.608116,1.330419,1.229946,2.249277
wue02,2,5,1.4225,1.41,1.18,4.0125,0.39517296374646,0.542562553957475,0.7947639,0.9957474,-3.662036,3.897564
wue02,2,6,1.59,1.3,1.2225,4.1125,0.379120276771912,0.469207206681959,1.56343,1.903841,0.7893788,2.63043
