contrast,band,t,p_2tail,q_FDR,p_Bonf,mean_dB,p_1tail
Rest_pre vs Reach,delta (1-4),1.332,0.2422,0.4624,1.0000,0.257,0.1211
Rest_pre vs Reach,theta (4-8),3.088,0.0312,0.2625,1.0000,0.545,0.0156
Rest_pre vs Reach,alpha (8-13),1.556,0.1484,0.4010,1.0000,0.446,0.0742
Rest_pre vs Reach,low-beta (13-20),1.240,0.2031,0.4266,1.0000,0.609,0.1016
Rest_pre vs Reach,high-beta (20-30),1.768,0.1484,0.4010,1.0000,0.687,0.0742
Rest_pre vs Reach,gamma (30-60),-2.070,0.0703,0.3646,1.0000,-0.391,0.0352
Rest_pre vs Grasp,delta (1-4),0.923,0.3906,0.5977,1.0000,0.117,0.1953
Rest_pre vs Grasp,theta (4-8),7.696,0.0078,0.0820,0.3281,0.510,0.0039
Rest_pre vs Grasp,alpha (8-13),0.840,0.4141,0.5997,1.0000,0.275,0.2070
Rest_pre vs Grasp,low-beta (13-20),1.537,0.1328,0.4010,1.0000,0.917,0.0664
Rest_pre vs Grasp,high-beta (20-30),0.188,0.9141,0.9141,1.0000,0.084,0.4570
Rest_pre vs Grasp,gamma (30-60),-1.963,0.0781,0.3646,1.0000,-0.415,0.0391
Rest_pre vs Pull,delta (1-4),-0.615,0.6250,0.7715,1.0000,-0.081,0.3125
Rest_pre vs Pull,theta (4-8),2.757,0.0469,0.3281,1.0000,0.593,0.0234
Rest_pre vs Pull,alpha (8-13),1.920,0.1094,0.4010,1.0000,0.491,0.0547
Rest_pre vs Pull,low-beta (13-20),1.055,0.3125,0.5048,1.0000,0.341,0.1562
Rest_pre vs Pull,high-beta (20-30),-1.343,0.2578,0.4648,1.0000,-0.355,0.1289
Rest_pre vs Pull,gamma (30-60),-2.296,0.0625,0.3646,1.0000,-0.301,0.0312
Rest_pre vs Rest_post,delta (1-4),1.598,0.1641,0.4010,1.0000,0.280,0.0820
Rest_pre vs Rest_post,theta (4-8),0.920,0.3984,0.5977,1.0000,0.259,0.1992
Rest_pre vs Rest_post,alpha (8-13),-0.814,0.4531,0.6344,1.0000,-0.188,0.2266
Rest_pre vs Rest_post,low-beta (13-20),-4.335,0.0078,0.0820,0.3281,-0.989,0.0039
Rest_pre vs Rest_post,high-beta (20-30),-5.598,0.0078,0.0820,0.3281,-1.218,0.0039
Rest_pre vs Rest_post,gamma (30-60),-1.600,0.1719,0.4010,1.0000,-0.160,0.0859
Reach vs Grasp,delta (1-4),-0.528,0.6016,0.7656,1.0000,-0.140,0.3008
Reach vs Grasp,theta (4-8),-0.204,0.8438,0.8859,1.0000,-0.035,0.4219
Reach vs Grasp,alpha (8-13),-0.686,0.4922,0.6460,1.0000,-0.172,0.2461
Reach vs Grasp,low-beta (13-20),1.644,0.1875,0.4145,1.0000,0.308,0.0938
Reach vs Grasp,high-beta (20-30),-1.645,0.1719,0.4010,1.0000,-0.604,0.0859
Reach vs Grasp,gamma (30-60),-0.391,0.7031,0.7771,1.0000,-0.023,0.3516
Grasp vs Pull,delta (1-4),-1.678,0.2188,0.4375,1.0000,-0.198,0.1094
Grasp vs Pull,theta (4-8),0.378,0.6797,0.7715,1.0000,0.083,0.3398
Grasp vs Pull,alpha (8-13),0.771,0.4688,0.6351,1.0000,0.216,0.2344
Grasp vs Pull,low-beta (13-20),-1.554,0.1562,0.4010,1.0000,-0.576,0.0781
Grasp vs Pull,high-beta (20-30),-1.237,0.2656,0.4648,1.0000,-0.439,0.1328
Grasp vs Pull,gamma (30-60),0.602,0.6719,0.7715,1.0000,0.114,0.3359
Reach vs Pull,delta (1-4),-1.592,0.1641,0.4010,1.0000,-0.338,0.0820
Reach vs Pull,theta (4-8),0.240,0.8438,0.8859,1.0000,0.048,0.4219
Reach vs Pull,alpha (8-13),0.170,0.8828,0.9043,1.0000,0.044,0.4414
Reach vs Pull,low-beta (13-20),-1.097,0.3125,0.5048,1.0000,-0.267,0.1562
Reach vs Pull,high-beta (20-30),-2.788,0.0078,0.0820,0.3281,-1.043,0.0039
Reach vs Pull,gamma (30-60),0.467,0.6562,0.7715,1.0000,0.090,0.3281
